Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge,Knowledge_Suppression_Ratio,Critical_Transition
61,3.130050831746812,0.0032047158074122568,40.48734534033049,40.11776659167404,0.39906373710657045,0.4509153250207877,72.0947806893213,True,1.3187119948743449,1,1.18,True,0.0,0.2758924462901773,0.007408570996797414,False
62,2.872323414167167,0.002884244226671031,40.45885584879819,40.11379609673383,0.37354924359666286,0.42212655966679097,67.63729875311813,True,1.3422735529643444,1,1.18,True,0.0,0.29525059426618677,0.007107134376647136,False
63,2.574186896829508,0.002595819804003928,40.43133913055695,40.10991585427717,0.3489399945210214,0.3943622391373983,63.318983950018634,True,1.3644843137107059,1,1.18,True,0.0,0.31526818562190445,0.006832652816131097,False
64,2.239813902763375,0.0023362378236035353,40.40479578729881,40.10603283600368,0.325306294553275,0.3677294294976957,59.15433587060973,True,1.3852566213878945,1,1.18,True,0.0,0.3351509825101539,0.006582323423464304,False
65,1.872994262231617,0.0021026140412431817,40.37924596553194,40.10206906090255,0.30272672639625586,0.34233883419810696,55.159414424654344,True,1.4045084971874737,1,1.18,True,0.0,0.35411009030511187,0.006353143469628598,False
66,1.4771338933198688,0.0018923526371188634,40.35472507739211,40.097963591742996,0.28128237378894555,0.31829800313038636,51.350825129716036,True,1.4221639627510076,1,1.18,True,0.0,0.3713934090776764,0.006141909217422955,False
67,1.2554677710327407,0.001703117373406977,40.33127917966971,40.09367390588159,0.26105117151052515,0.29570478046552584,47.74470046955795,True,1.4381533400219317,1,1.18,True,0.0,0.38631561815305354,0.005945223088137589,False
68,1.0507573280641602,0.0015328056360662794,40.30896017972751,40.08917659395744,0.24210258571227047,0.27464124747448887,44.35571706982887,True,1.4524135262330098,1,1.18,True,0.0,0.39828549836250265,0.005759519243232294,False
69,0.8347781383049965,0.0013795250724596515,40.28782104160781,40.08446736827499,0.2244928114525159,0.2551683974212388,41.196187121173324,True,1.4648882429441257,1,1.18,True,0.0,0.4068295027387876,0.005581119552002691,False
70,0.6085794989704418,0.0012415725652136864,40.26791116326921,40.079560390158385,0.20826065144942732,0.23732175088508214,38.27525961318581,True,1.4755282581475768,1,1.18,True,0.0,0.4116106359674982,0.0054063320003624685,False
71,0.3730897652440731,0.0011174153086923179,40.24927208706382,40.074486950998185,0.1934242122710263,0.2211080826319381,35.598262632762314,True,1.4842915805643155,1,1.18,True,0.0,0.4124418899314007,0.005231600393066756,False
72,0.12914104351988934,0.0010056737778230862,40.23193369102286,40.06929356418839,0.17997852287543314,0.20650338689611933,33.16621239479071,True,1.4911436253643444,1,1.18,True,0.0,0.4092936997162856,0.005053706293280986,False
73,0.0,0.0009051064000407778,40.21591098916209,40.0640395441529,0.16789414686996032,0.19345215844922742,30.975508034417892,True,1.496057350657239,1,1.18,True,0.0,0.4022951228320266,0.004870011058603054,False
74,0.0,0.0008145957600367,40.20120164580237,40.058794164017336,0.15711682514475533,0.18186801414776074,29.017823767384105,True,1.499013364214136,1,1.18,True,0.0,0.39172869463809556,0.004678709233830172,False
75,0.0,0.0007331361840330299,40.18778428275681,40.05363349528455,0.14756815051782207,0.17163562593691184,27.280202122164106,True,1.5,1,1.18,True,0.0,0.3780191650724783,0.004479049072229229,False
76,0.0,0.000659822565629727,40.175617630037394,40.04863704135527,0.13914724140153842,0.16261388376215075,25.74534389053677,True,1.499013364214136,1,1.18,True,0.0,0.3617165657160018,0.004271468583698987,False
77,0.0,0.0005938403090667543,40.1646405412769,40.04388428216419,0.1317333478732029,0.15464015766597694,24.392082564322607,True,1.4960573506572388,1,1.18,True,0.0,0.34347428225565846,0.004057602895671718,False
78,0.0,0.0005344562781600788,40.15477286508092,40.03945124977006,0.12518929150684252,0.1475354845370987,23.196023649896535,True,1.4911436253643444,1,1.18,True,0.0,0.32402300652943594,0.003840142935895413,False
79,0.0,0.0004810106503440709,40.14591713372603,40.03540725449867,0.1193656105822531,0.14111046830629187,22.1303226805648,True,1.4842915805643155,1,1.18,True,0.0,0.3041416066032052,0.0036225609034800476,False
80,0.0,0.00043290958530966384,40.137961001720704,40.03181187807647,0.11410525564955926,0.13517165430615335,21.166570245943777,True,1.4755282581475768,1,1.18,True,0.0,0.28462607619849223,0.003408752420125187,False
81,0.0,0.00038961862677869746,40.13078033951271,40.02871234384837,0.10924865787233565,0.1295281201179804,20.275748145923,True,1.4648882429441257,1,1.18,True,0.0,0.2662578013601533,0.003202665437009131,False
82,0.0,0.0003506567641008277,40.124242862903486,40.0261413643003,0.10463897521241056,0.12399801719521002,19.429218017697053,True,1.4524135262330098,1,1.18,True,0.0,0.24977240947241108,0.0030079848794517684,False
83,0.0,0.00031559108769074496,40.11821215743498,40.024115552375676,0.10012731052780866,0.11841480012836665,18.599702579281498,True,1.4381533400219317,1,1.18,True,0.0,0.23583044251528662,0.0028279223493452234,False
84,0.0,0.00028403197892167047,40.11255194011636,40.02263446528676,0.09557769214822458,0.11263289342374841,17.762220019254993,True,1.4221639627510074,1,1.18,True,0.0,0.22499102372671703,0.002665132123253435,False
85,0.0,0.00025562878102950343,40.107130389318904,40.0216803277322,0.09087161238415943,0.10653256852191464,16.89493401356226,True,1.4045084971874737,1,1.18,True,0.0,0.21768956749798363,0.0025217498218134465,False
86,0.0,0.0002300659029265531,40.10182436836126,40.021218456044636,0.08591193327426919,0.10002383552337264,15.979885278287195,True,1.3852566213878945,1,1.18,True,0.0,0.21422042113908396,0.0023995364476443507,False
87,0.0,0.00020705931263389777,40.09652336992178,40.021198376618244,0.08062599174301348,0.09304919343074924,15.003575328505894,True,1.3644843137107059,1,1.18,True,0.0,0.21472513053256992,0.00230011078582158,False
88,0.0,0.000186353381370508,40.09113301735258,40.02155560222695,0.07496776769483358,0.08558512809900407,15.0,True,1.3422735529643444,1,1.18,True,0.0,0.21918679748765788,10.0,False
89,0.0,0.0001677180432334572,40.08557797525742,40.02221400010813,0.06891901724445286,0.07764229673549247,15.0,True,1.3187119948743449,1,1.18,True,0.0,0.22743075374952673,10.0,False
90,0.0,0.00015094623891011148,40.079804144925454,40.023088657751416,0.06248931750600315,0.06926438979015023,15.0,True,1.2938926261462367,1,1.18,True,0.0,0.23913152479359007,10.0,False
91,0.0,0.00013585161501910033,40.07378004951816,40.02408912805302,0.055715016872430745,0.06052571342276697,15.0,True,1.2679133974894985,1,1.18,True,0.0,0.25382580578062575,10.0,False
92,0.0,0.0001222664535171903,40.06749734799195,40.02512291659311,0.048657132925052415,0.051527586417313864,15.0,True,1.2408768370508578,1,1.18,True,0.0,0.2709309323627488,10.0,False
93,0.0,0.00011003980816547128,40.060970453948606,40.026099061660645,0.041398286331306246,0.04239369247710499,15.0,True,1.2128896457825364,1,1.18,True,0.0,0.2897681099678273,10.0,False
94,0.0,9.903582734892414e-05,40.05423527404482,40.02693165319084,0.03403880075776243,0.033264570447875993,15.0,True,1.1840622763423392,1,1.18,True,0.0,0.3095894754844122,10.0,False
95,0.0,8.913224461403173e-05,40.047347118266394,40.02754314030648,0.026692133738342436,0.025623237019002466,15.0,True,1.1545084971874737,1,1.18,True,0.0,0.32960791248350874,10.0,False
96,0.0,8.021902015262856e-05,40.040645389587546,40.02679793809682,0.02054918016957366,0.018391970256310237,15.0,True,1.1243449435824273,1,1.18,True,0.0,0.34902843133868894,10.0,False
97,0.0,7.219711813736571e-05,40.03416746636915,40.02590330560807,0.014742083979478524,0.012860858028990386,15.0,True,1.0936906572928624,1,1.18,True,0.0,0.3670798632184641,10.0,False
98,0.0,6.497740632362913e-05,40.028199845428894,40.023863365508355,0.010304100860790338,0.007928831378637811,15.0,True,1.0626666167821524,1,1.18,True,0.0,0.383045604411731,10.0,False
99,0.0,5.8479665691266224e-05,40.022735905746096,40.021849791064085,0.006350054364811625,0.004797755370612902,15.0,True,1.0313952597646567,1,1.18,True,0.0,0.3962921853073098,10.0,False
100,0.0,5.263169912213959e-05,40.01801114051766,40.018894598340665,0.003841307405430032,0.002216809687884611,15.0,True,1.25,2,1.18,True,0.0,0.40629452507276276,10.0,True
101,0.0,4.736852920992564e-05,40.01395114228737,40.016236697541814,0.001774442975842449,0.0009649357335048181,15.0,True,1.5594000000000001,2,1.18,True,0.00020000165014867865,0.41265686520837896,10.0,False
102,0.0,4.263167628893308e-05,40.010655877727125,40.01317888720262,0.000772255084744513,0.0,15.0,True,1.6176,2,1.18,True,0.0002842522354215253,0.41512854742181005,10.0,False
103,0.0,3.836850866003977e-05,40.00799155345869,40.010655877727125,0.0,0.0,15.0,True,1.6746,2,1.18,True,0.0003498599153730883,0.4136140068094999,10.0,False
104,0.0,3.453165779403579e-05,40.00599346551612,40.00799155345869,0.0,0.0,15.0,True,1.7304,2,1.18,True,0.0004059734988092582,0.4081765819485024,10.0,False
105,0.0,3.107849201463221e-05,40.004494986882,40.00599346551612,0.0,0.0,15.0,True,1.785,2,1.18,True,0.0004561171318190954,0.39903599000254497,10.0,False
106,0.0,2.7970642813168995e-05,40.003371177021165,40.004494986882,0.0,0.0,15.0,True,1.8384,2,1.18,True,0.0005020886072599651,0.38655956750207854,10.0,False
107,0.0,2.5173578531852095e-05,40.00252834725077,40.003371177021165,0.0,0.0,15.0,True,1.8906,2,1.18,True,0.0005449502886361257,0.37124762600094874,10.0,False
108,0.0,2.2656220678666883e-05,40.00189624046139,40.00252834725077,0.0,0.0,15.0,True,1.9416,2,1.18,True,0.0005853907422542303,0.35371350643361393,10.0,False
109,0.0,2.0390598610800197e-05,40.0014221691094,40.00189624046139,0.0,0.0,15.0,True,1.9913999999999998,2,1.18,True,0.0006238857444936394,0.3346591273429096,10.0,False
110,0.0,1.8351538749720177e-05,40.00106662051153,40.0014221691094,0.0,0.0,15.0,True,2.0,2,1.18,True,0.0006607798883334103,0.3148470017935119,10.0,False
